City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
470,presidencia roque saenz pena,44,AR,1549066308,83,-26.79,-60.44,81.38,10.45
471,lai,68,CN,1549066308,47,27.82,91.75,32.15,1.28
472,requena,0,ES,1549063800,53,39.49,-1.1,51.8,24.16
473,aswan,0,EG,1549066309,76,24.09,32.9,48.08,5.19
474,talcahuano,0,CL,1549062000,60,-36.72,-73.12,69.8,10.29
475,boa vista,40,BR,1549062000,48,2.82,-60.67,87.8,11.41
476,pimenteiras,24,BR,1549066310,83,-6.24,-41.42,76.07,6.53
477,rosetta,0,EG,1549062000,87,31.4,30.42,55.4,3.36
478,rocha,80,UY,1549066206,97,-34.48,-54.34,70.49,5.08
479,qorveh,44,IR,1549066311,67,35.17,47.8,17.43,2.95
480,kaeo,76,NZ,1549066312,63,-35.1,173.78,75.3,8.88
481,paracuru,75,BR,1549062000,88,-3.41,-39.03,80.6,3.36
482,salta,0,AR,1549065600,83,-24.79,-65.41,73.4,2.24
483,faanui,92,PF,1549066313,98,-16.48,-151.75,83.99,17.83
484,pangkalanbuun,92,ID,1549066313,97,-2.68,111.62,73.5,6.53
485,zunyi,0,CN,1549066313,85,27.73,106.92,46.95,10.0
486,gwadar,12,PK,1549066314,94,25.12,62.33,67.02,8.21
487,nabire,0,ID,1549066314,74,-3.36,135.5,78.86,1.83
488,quang ngai,12,VN,1549066314,97,15.12,108.8,62.12,2.06
